Phrase	Transcription	Notes
أنَا {{c1::رُوسِي::jestem Rosjaninem}}.	Anā {{c1::rūsī}}.
نَحْنُ {{c1::فِلَسْطِينِيون::jesteśmy Palestyńczykami}}.	Naḥnu {{c1::filasṭīniyyūn}}.
نَحْنُ {{c1::إِسْرَائِيلِيون::jesteśmy Izraelczykami}}.	Naḥnu {{c1::isrāʾīliyyūn}}.
نَحْنُ {{c1::لُبْنَانِيون::jesteśmy Libańczykami}}.	Naḥnu {{c1::lubnāniyyūn}}.
نَحْنُ {{c1::سُورِيون::jesteśmy Syryjczykami}}.	Naḥnu {{c1::sūriyyūn}}.
نَحْنُ {{c1::تُرْكِيون::jesteśmy Turkami}}.	Naḥnu {{c1::turkiyyūn}}.
نَحْنُ {{c1::أَتْرَاك::jesteśmy Turkami}}.	Naḥnu {{c1::atrāk}}.
نَحْنُ {{c1::يُونَانِيون::jesteśmy Grekami}}.	Naḥnu {{c1::yūnāniyyūn}}.
نَحْنُ {{c1::أَمْرِيكِيون::jesteśmy Amerykanami}}.	Naḥnu {{c1::amrīkiyyūn}}.
نَحْنُ {{c1::كَنَدِيون::jesteśmy Kanadyjczykami}}.	Naḥnu {{c1::kanadiyyūn}}.
نَحْنُ {{c1::بَرَازِيلِيون::jesteśmy Brazylijczykami}}.	Naḥnu {{c1::brāzīliyyūn}}.
نَحْنُ {{c1::تَيْلَانْديُون::jesteśmy Tajami}}.	Naḥnu {{c1::taylāndiyyūn}}.
نَحْنُ {{c1::مَنْغُول::jesteśmy Mongołami}}.	Naḥnu {{c1::manġūl}}.
نَحْنُ {{c1::أَلَمان::jesteśmy Niemcami}}.	Naḥnu {{c1::almān}}.
نَحْنُ {{c1::أَسْبَانْ::jesteśmy Hiszpanami}}.	Naḥnu {{c1::asbān}}.
مَا {{c1::جِنْسِيَّتُكُنَّ::wasza narodowość}}؟	Mā {{c1::jinsiyyatukunna}}?	r.ż.
نَحْنُ {{c1::مِصْرِيَات::jesteśmy Egipcjankami}}.	Naḥnu {{c1::miṣriyyāt}}.
نَحْنُ {{c1::أَمْرِيكِيَات::jesteśmy Amerykankami}}.	Naḥnu {{c1::amrīkiyyāt}}.
نَحْنُ {{c1::بُولَنْدِيَات::jesteśmy Polkami}}.	Naḥnu {{c1::būlandiyyāt}}.
نَحْنُ {{c1::أَلْمَانِيَات::jesteśmy Niemkami}}.	Naḥnu {{c1::almāniyyāt}}.
نَحْنُ {{c1::فَرَنْسَاوِيَات::jesteśmy Francuzkami}}.	Naḥnu {{c1::faransāwiyyāt}}.
نَحْنُ {{c1::إِسْبَانِيَات::jesteśmy Hiszpankami}}.	Naḥnu {{c1::isbāniyyāt}}.
نَحْنُ {{c1::بُرْتُغَالِيَات::jesteśmy Portugalkami}}.	Naḥnu {{c1::burtuġāliyyāt}}.
نَحْنُ {{c1::إِيرَانِيَات::jesteśmy Irankami}}.	Naḥnu {{c1::īrāniyyāt}}.
نَحْنُ {{c1::أُرْدُنِيَات::jesteśmy Jordankami}}.	Naḥnu {{c1::urduniyyāt}}.
نَحْنُ {{c1::إِمَارَاتِيَات::jesteśmy z Emiratów}}.	Naḥnu {{c1::imārātiyyāt}}.	r.ż.
نَحْنُ {{c1::إِيطَالِيَات::jesteśmy Włoszkami}}.	Naḥnu {{c1::īṭāliyyāt}}.
نَحْنُ {{c1::كَنَدِيَات::jesteśmy Kanadyjkami}}.	Naḥnu {{c1::kanadiyyāt}}.
